well_id,descricao,de_m,para_m
PW_024,Fm Guará Inf,227.058868408203,239.968505859375
PW_024,Fm Piramboia Sup,239.968505859375,284.120788574219
PW_024,Fm Piramboia Inf,284.120788574219,290.0
PW_025,Fm Serra Geral,0.0,93.15625
PW_025,Fm Botucatu,93.15625,245.010101318359
PW_025,Fm Guará Sup,245.010101318359,274.732757568359
PW_025,Fm Guará Inf,274.732757568359,280.317810058594
PW_025,Diabásio,280.317810058594,280.782775878906
PW_025,Fm Guará Inf,280.782775878906,299.920501708984
PW_025,Fm Piramboia Sup,299.920501708984,312.258377075195
PW_025,Fm Piramboia Inf,312.258377075195,380.77
PW_026,Fm Botucatu,0.0,69.1122436523438
PW_026,Fm Guará Sup,69.1122436523438,81.9631958007812
PW_026,Fm Guará Inf,81.9631958007812,113.139526367188
PW_026,Fm Piramboia Sup,113.139526367188,168.230346679688
PW_026,Fm Piramboia Inf,168.230346679688,173.019409179688
PW_026,Diabásio,173.019409179688,176.48
PW_027,Fm Serra Geral,0.0,168.650054931641
PW_027,Fm Botucatu,168.650054931641,259.292022705078
PW_027,Fm Guará Sup,259.292022705078,297.534637451172
PW_027,Fm Guará Inf,297.534637451172,308.01
PW_028,Fm Botucatu,0.0,136.719482421875
PW_028,Fm Guará Sup,136.719482421875,151.468231201172
PW_028,Fm Guará Inf,151.468231201172,172.994140625
PW_028,Fm Piramboia Sup,172.994140625,226.789398193359
PW_028,Fm Piramboia Inf,226.789398193359,242.014831542969
PW_028,Diabásio,242.014831542969,248.014831542969
PW_028,Fm Piramboia Inf,248.014831542969,249.39
PW_029,Fm Serra Geral,0.0,119.797302246094
PW_029,Fm Botucatu,119.797302246094,173.105377197266
PW_029,Fm Guará Sup,173.105377197266,201.634704589844
PW_029,Fm Guará Inf,201.634704589844,223.712829589844
PW_029,Fm Piramboia Sup,223.712829589844,257.443664550781
PW_029,Fm Piramboia Inf,257.443664550781,269.71
PW_139,Fm Botucatu,0.0,106.892639160156
PW_139,Fm Guará Inf,106.892639160156,114.111999511719
PW_139,Fm Piramboia Sup,114.111999511719,145.478851318359
PW_139,Diabásio,145.478851318359,218.4091796875
PW_139,Fm Piramboia Inf,218.4091796875,340.0
PW_030,Fm Serra Geral,0.0,136.351013183594
PW_030,Fm Botucatu,136.351013183594,178.570953369141
PW_030,Fm Guará Sup,178.570953369141,215.817504882812
PW_030,Fm Guará Inf,215.817504882812,253.532592773438
